Section,Folder,DD Ref,Topic,Request,Plain English (per Claude),Group Owner,Owner,DD Point of Contact,Intercom Priority,Diamond Priority,Status,LOE,Req. DG Review,GDrive Folder,GDrive Link,Template Required,Company Comments,Diamond Comments,Claude Audit Report,Output Type,Date Requested,Date Provided,Dependency,Owner Notes
2,Main,2.2,Legal - Material Agreements,"Provide copies of all written (and a description of all oral) agreements relating to the Company, its business and/or its assets, including any:
 (i) agreements, understandings or proposed transactions with top 25 customers, suppliers, consultants and vendors, as applicable;
 (ii) Agreements, understandings or proposed transactions with partners (OEM, VAR, ISV, reseller, referral, etc.) including those where the Company is appointed as a third party’s partner. Note: If such agreement is on the form provided above, please provide only if such agreement contains material deviations; 
 (iii) capital leases, operating leases, sale and leaseback arrangements and installment purchases and material lease agreements;
 (iv) agreements with third parties that restrict the entry into, or that require consent or give rise to termination rights in connection with, the proposed transaction;
 (v) non-competition, exclusivity, most-favored-nation, employment non-solicitation, or similar agreements that restrict the Company or any affiliate in its operations or business in any respect. Note: if such restrictions are on a standard form provided above, please provide only if such agreement contains material deviations;
 (vi) merger, acquisition and sale agreements and related documents;
 (vii) documents governing equity investments in or loans made by the Company to third parties;
 (viii) agreements or understandings between the Company and any related party, including any “insider” (i.e. an officer, director or owner of a substantial amount of the Company’s securities) or affiliate of an insider;
 (ix) agreements containing indemnification obligations (other than as provided in connection with the sale of products or services in the ordinary course);
 (x) agreements relating to guarantees or similar arrangements by or on behalf of the Company or any other entity (including intercompany indebtedness owing to and from Company affiliates);
 (xi) material letters of intent or contracts in negotiation;
 (xii) powers of attorneys granted by the Company to a third party, granting such party the authority to bind the Company;
 (xiii) material agreements or proposed agreements pursuant to which the Company licenses proprietary rights from a third party in connection with the development, support and delivery of the Company’s products and/or services (other than “shrink-wrap” licenses with a list price of less than $10,000); and
 (xiv) material research and development agreements, product development agreements, marketing and advertising agreements.","Share copies of all written (and a description of all oral) agreements relating to the Company, its business and/or its assets, including any:",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,High Effort (Significant Investment),,(Confidential) 2. Integra_Main_Legal - Material Agreements,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Accounting : General,See: DD Compound Requests Tab
2,Main,2.3,Legal - Material Agreements,"Provide a list of names and addresses for the top 25 customers and top 25 partners, suppliers, vendors and consultants.",List Intercom's top 25 customers (by ARR) and top 25 vendors with contact addresses.,Accounting : General,Anne Pierce,Brandon K,Required,P00 — Critical (cross-functional priority),1. Not Started,,,(Confidential) 2. Integra_Main_Legal - Material Agreements,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
2,Main,2.4,Legal - Material Agreements,"Provide copies of all written (and a description of all oral) agreements that restrict the Company or any affiliate in any respect related to employee solicitation or hiring, whether or not expired. NOTE: if standard form customer, supplier, or partner agreements already provided include such restrictions – please indicate as such and note any deviations from the form.",Share copies of all written (and a description of all oral) agreements that restrict the Company or any affiliate in any respect related to employee...,Legal,Michele Matsubara,Brandon K,Required,P00 — Critical (cross-functional priority),1. Not Started,,,(Confidential) 2. Integra_Main_Legal - Material Agreements,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
2,Main,2.5,Legal - Material Agreements,"Provide a list of agreements where THE COMPANY has been appointed a partner, OEM, VAR, reseller or distributor, showing all associated spend or revenue during the last two fiscal years and the current fiscal year.","List a list of agreements where THE COMPANY has been appointed a partner, OEM, VAR, reseller or distributor, showing all associated spend or revenue...",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 2. Integra_Main_Legal - Material Agreements,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Finance,
2,Main,2.6,Legal - Material Agreements,"Provide a list of agreements where the Company has appointed ANOTHER PARTY as partner, OEM, VAR, reseller or distributor, showing revenues during the last two fiscal years and the current fiscal year.","List a list of agreements where the Company has appointed ANOTHER PARTY as partner, OEM, VAR, reseller or distributor, showing revenues during the last...",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 2. Integra_Main_Legal - Material Agreements,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Finance,
2,Main,2.7,Legal - Material Agreements,"Provide all documentation relating to any agreement or arrangement with any Salesforce director, officer or employee (e.g., advisory or consulting agreements).",Share any advisory or consulting arrangements with current or former Diamond employees.,Accounting : General,Anne Pierce,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 2. Integra_Main_Legal - Material Agreements,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.1,Legal - Intellectual Property & Legal AI Integration,"Provide a list of all worldwide 
 (i) patents, 
 (ii) registered and unregistered trademarks, service marks, trade dress and trade names, 
 (iii) registered copyrights, 
 (iv) domain names, and 
 (v) applications for any of the foregoing, 
 in each case owned by, filed in the name of, controlled by, or exclusively licensed to the Company.","Provide a complete inventory of all IP assets worldwide: patents, trademarks (registered and unregistered), copyrights, domain names, and social media accounts.",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Engineering : IT,
3,Main,3.2,Legal - Intellectual Property & Legal AI Integration,List and briefly describe any material trade secrets owned by the Company.,List and describe any trade secrets Intercom considers material to the business.,Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,true,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.3,Legal - Intellectual Property & Legal AI Integration,"Provide all documentation and correspondence relating to any opposition, cancellation or revocation proceedings, with respect to any registered intellectual property owned by, filed in the name of, controlled by, or exclusively licensed to the Company, or threat of any such proceedings.","Share documentation for any disputes or challenges to Intercom's registered IP — oppositions, cancellations, or revocation proceedings.",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.4,Legal - Intellectual Property & Legal AI Integration,"Provide copies of all agreements relating to intellectual property rights or technology (“IP”), including those:
 (i) pursuant to which the Company has acquired, transferred, or licensed rights or ownership (or is obligated to acquire, transfer, or license rights or ownership) (a) in any IP from any third party or (b) in any IP to any third party, other than non-exclusive rights to use the Company’s products or services that are granted in the ordinary course of the Company’s business;
 (ii) under which the Company has licensed or embedded any IP from a third party or integrates with a third-party product or service;
 (iii) among the Company and/or any affiliates related to the transfer or licensing of any IP, payments or data among such entities;
 (iv) pursuant to which the Company is obligated to pay royalties or licensing fees to a third party for such third party’s IP or for the third party to refrain from bringing suit;
 (v) with third parties relating to joint ventures or the development or acquisition of inventions, technology, IP, products or provision of services;
 (vi) that are proprietary information and invention agreements, NDAs, or any other agreement purporting to assign IP rights to the Company, signed by employees and consultants;
 (vii) pursuant to which the Company has developed or agreed to develop any technology or IP the Company is restricted from using generally; or
 (viii) that are service agreements, outsourcing agreements, third-party hardware or software maintenance agreements and similar agreements related to electronic data processing or services.","Share copies of all agreements relating to intellectual property rights or technology (“IP”), including those:",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Engineering : IT,See: DD Compound Requests Tab
3,Main,3.5,Legal - Intellectual Property & Legal AI Integration,"Provide a list of third-party IP that is incorporated in, used in or necessary for the Company’s products or services.",List all third-party technology and APIs embedded in our products — including what powers Fin and Copilot.,Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Engineering : IT,
3,Main,3.6,Legal - Intellectual Property & Legal AI Integration,Provide a list of any employees or consultants engaged in the development of any material IP for the Company and indicating who has not signed proprietary information and invention agreements.,List a list of any employees or consultants engaged in the development of any material IP for the Company and indicating who has not signed proprietary...,Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Engineering : IT,
3,Main,3.7,Legal - Intellectual Property & Legal AI Integration,"Provide any freedom-to-operate, and landscape IP searches performed by the Company or on behalf of the Company.","Provide any freedom-to-operate, and landscape IP searches performed by the Company or on behalf of the Company",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.8,Legal - Intellectual Property & Legal AI Integration,"Provide any analyses, opinions or reviews of IP rights of third parties, including any formal or informal opinions involving the Company’s IP and with respect to infringement, misappropriation or violation of the IP rights of the Company.","Provide any analyses, opinions or reviews of IP rights of third parties, including any formal or informal opinions involving the Company’s IP and with...",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.9,Legal - Intellectual Property & Legal AI Integration,"Provide copies of any documentation related to the Company’s use of open or open source software, including a list of all open source components distributed as part of the Company’s products and services, or used by the Company to host, deliver, develop or distribute the Company’s products or services, and the applicable licenses.",List all open source software in our products with license types — especially in Fin and the agent platform.,Engineering : Security Team,Brian Scanlan,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.10,Legal - Intellectual Property & Legal AI Integration,"Provide a list of all open or open source projects that the Company has made public (e.g., GitHub and HuggingFace repositories) and a list of all open or open source projects to which the Company contributes.",List a list of all open or open source projects that the Company has made public (e,Engineering : Security Team,Brian Scanlan,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Engineering : Security Team,
3,Main,3.11,Legal - Intellectual Property & Legal AI Integration,Provide a list of any standards bodies or similar organizations to which the Company belongs related to the Company’s products or services and the Company’s policies regarding compliance with standard setting rules or contractual obligations.,List a list of any standards bodies or similar organizations to which the Company belongs related to the Company’s products or services and the...,Engineering : Security Team,Brian Scanlan,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.12,Legal - Intellectual Property & Legal AI Integration,Provide a list of all social media account names or handles used by the Company.,List a list of all social media account names or handles used by the Company,GTM Marketing,Barry Wallace,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.13,Legal - Intellectual Property & Legal AI Integration,Provide copies of agreements obligating the Company to provide source code or AI/ML models or algorithms to a third party upon the occurrence of certain events.,Share copies of agreements obligating the Company to provide source code or AI/ML models or algorithms to a third party upon the occurrence of certain...,Engineering : AI Team,,Brandon K,,P0 — High,1. Not Started,,true,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.14,Legal - Intellectual Property & Legal AI Integration,Provide copies of agreements in which the customers’ right to use the services converts to a perpetual right as a result of a triggering event.,Share copies of agreements in which the customers’ right to use the services converts to a perpetual right as a result of a triggering event,Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.15,Legal - Intellectual Property & Legal AI Integration,"Describe how the Company’s products and services are shipped from the United States and downloaded or otherwise delivered outside of the United States, and the jurisdictions to which they are delivered.","Describe how the Company’s products and services are shipped from the United States and downloaded or otherwise delivered outside of the United States, and...",Engineering : Security Team,Brian Scanlan,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.16,Legal - Intellectual Property & Legal AI Integration,"Provide a list of past, pending, threatened, or potential actions, proceedings, or offers to license involving the technology or IP of the Company made by or against the Company.","List a list of past, pending, threatened, or potential actions, proceedings, or offers to license involving the technology or IP of the Company made by...",Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,true,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.17,Legal - Intellectual Property & Legal AI Integration,"Provide copies of any ethical or governance principles and policies that the Company has adopted with respect to its machine learning (“ML”), artificial intelligence (“AI”) and/or other decision making or decision supporting software and/or its other data analytics products (including derived from pre-existing third-party material) (collectively, “Intelligent Products”).
  
 (i) What steps has the Company taken to operationalize its above principles and policies and/or otherwise ensure that its Intelligent Products are trustworthy?
  
 (ii) Provide details regarding any actual or alleged non-compliance with the above principles and policies.
  
 (iii) How does the Company monitor legal developments pertaining to Intelligent Product ethics or regulation?",Share our AI ethics and responsible AI policies covering Fin and other AI features.,Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Engineering : Security Team,
3,Main,3.18,Legal - Intellectual Property & Legal AI Integration,"Has the Company used any generative AI tools or services in the development of Company IP? If so, what are the Company’s policies and processes regarding:
  
 (i) independent human review of the content being generated;
 (ii) security auditing of any code being generated;
 (iii) automated scanning of the generated content for inclusion of or similarity to third-party software or content;
 (iv) registration of copyrights in and to the generated content (including disclosure to the US Copyright Office the degree to which the works were AI-generated and/or contributed to by the Company’s personnel)?","Provide has the Company used any generative AI tools or services in the development of Company IP? If so, what are the Company’s policies and processes regard",Engineering : Security Team,Thibault Candebat,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.19,Legal - Intellectual Property & Legal AI Integration,Has the Company performed a risk and/or impact assessment to assess the potential harms arising from decisions and actions the Intelligent Products make? Please provide copies.,Share has the Company performed a risk and/or impact assessment to assess the potential harms arising from decisions and actions the Intelligent...,Engineering : Security Team,Thibault Candebat,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.20,Legal - Intellectual Property & Legal AI Integration,"Who within the Company and what outside advisors, if any, are involved in managing the Intelligent Products and their trustworthiness and are they engaged throughout the product lifecycle?
  
 Who is ultimately responsible and who are the key decision makers?
 To what extent, if any, does the Company’s data governance committee address these issues?","Provide who within the Company and what outside advisors, if any, are involved in managing the Intelligent Products and their trustworthiness and are they eng",Engineering : Security Team,Thibault Candebat,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.21,Legal - Intellectual Property & Legal AI Integration,"Are the Intelligent Products designed to ensure that (i) any of their output or decisions are not biased, and (ii) the data they use is accurate and continuously up-to-date? If so, please describe the steps that the Company took to design the Intelligent Products and any bias analysis done on them.","Describe are the Intelligent Products designed to ensure that (i) any of their output or decisions are not biased, and (ii) the data they use is accurate...",Engineering : Security Team,Thibault Candebat,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.22,Legal - Intellectual Property & Legal AI Integration,"If the Intelligent Products are a feature of the Company’s other products, are Customers or users provided with a mechanism to opt-into or out of the use of the Intelligent Products and/or use of their data for improvement of Company products? If yes, please describe the process.",Can customers opt in/out of having their data used to improve Fin? Describe the mechanism.,Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.23,Legal - Intellectual Property & Legal AI Integration,"Describe (i) steps the Company takes to prevent customers from using Intelligent Products for illegal or illicit purposes, and (ii) provide a copy of any binding acceptable use policy applicable to customers’ use of Intelligent Products.","Describe (i) steps the Company takes to prevent customers from using Intelligent Products for illegal or illicit purposes, and (ii) provide a copy of any...",Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.24,Legal - Intellectual Property & Legal AI Integration,"Do the Intelligent Products process personal data for the purpose of analyzing or predicting an individual’s performance at work, economic situation, health, personal preferences, interests, reliability, behavior, location, movements or other characteristics? 
  
 Do the Intelligent Products provide analysis, decisions, or predictions that (i) affect an individual’s rights under law (e.g., qualification for benefits), or (ii) would have a significant impact on the individual, including on their health, finances, employment, or reputation?
  
 If so, in either case: (i) please describe; and (ii) indicate whether the product requires human involvement by the Company or its customer to make such an analysis, decision, or prediction.","Provide do the Intelligent Products process personal data for the purpose of analyzing or predicting an individual’s performance at work, economic situation, ",Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.25,Legal - Intellectual Property & Legal AI Integration,Describe steps the Company takes to minimize and protect personal data processed by Intelligent Products.,Describe steps the Company takes to minimize and protect personal data processed by Intelligent Products,Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.26,Legal - Intellectual Property & Legal AI Integration,Provide a list of the Company’s sources of data used to train the Intelligent Products or enrich their outputs.,"List all data sources used to train Fin — customer conversations, public web data, licensed datasets.",Engineering : AI Team,Fergal Reid,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.27,Legal - Intellectual Property & Legal AI Integration,"With respect to data from the Company’s customers:
  
 (i) Does the Company use such data to train the Intelligent Products? Is such data used to improve the Intelligent Products for all customers?
  
 (ii) If so, do such customers have written agreements with the Company that allow the Company to use their data in this manner? Do any such agreements give customers, or do customers otherwise assert, rights to technology derived from use of their data, or impose restrictions on use?
  
 (iii)What rights does the Company have to any inputs that the Company’s customers submit to the Intelligent Products?",Provide with respect to data from the Company’s customers:,Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,true,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.28,Legal - Intellectual Property & Legal AI Integration,"Has the Company obtained any data gathered using web scraping, web crawling, web harvesting software or any other data gathering method for which the Company does not have an express license to collect and use it? If so, please provide a list of websites from where such data is gathered and the applicable terms of use.","List has the Company obtained any data gathered using web scraping, web crawling, web harvesting software or any other data gathering method for which...",Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.29,Legal - Intellectual Property & Legal AI Integration,"Describe all claims made by the Company to third parties pertaining to the bias, accuracy, safety, reliability or operation of the Intelligent Products.
  
 Provide a list of all instances where an Intelligent Product has not met the claim and the Company’s remediation actions to address the claim.","List all claims made by the Company to third parties pertaining to the bias, accuracy, safety, reliability or operation of the Intelligent Products",Engineering : Security Team,Thibault Candebat,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
